product,rating,rating count,price,product url
BRONAX Cloud Slippers for Women and Men | Pillow Slippers Bathroom Sandals | Extremely Comfy | Cushioned Thick Sole  ,4.4 out of 5 stars,"20,458  ",23.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00304341RBXI7N31FXL5&url=%2FBRONAX-Slippers-Bathroom-Sandals-Cushion%2Fdp%2FB092QWPJ99%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_mtf
Under Armour Men's Charged Commit Tr 3 Cross Trainer  ,4.6 out of 5 stars,"3,305  ",71.95,https://amazon.com/Under-Armour-Charged-Commit-Trainer/dp/B095PSV8ZF/ref=sr_1_18?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-18
Clarks Women's Warren Slip-On Loafer  ,4.6 out of 5 stars,"13,470  ",46.98,https://amazon.com/Clarks-Womens-Emslie-Warren-Leather/dp/B01MU022AU/ref=sr_1_19?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-19
Clarks Men's Tilden Cap Oxford Shoe  ,4.6 out of 5 stars,"7,432  ",56.79,https://amazon.com/Clarks-Tilden-Cap-Oxford-Leather/dp/B00SMJOERG/ref=sr_1_20?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-20
Reebok Men's Club MEMT Casual Sneakers  ,4.5 out of 5 stars,"7,176  ",64.95,https://amazon.com/Reebok-Mens-Sneaker-Steel-White/dp/B07MV66JTB/ref=sr_1_21?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-21
LifeStride Women's Adriana Ankle Bootie  ,4.4 out of 5 stars,"4,446  ",52.49,https://amazon.com/LifeStride-Womens-Adriana-Ankle-Bootie/dp/B075GY5JLD/ref=sr_1_22?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-22
New Balance Men's 481 V3 Trail Running Shoe  ,4.4 out of 5 stars,"23,604  ",63.0,https://amazon.com/New-Balance-481V3-Cushioning-Running/dp/B01MYPGGNW/ref=sr_1_24?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-24
Clarks Men's Tilden Walk Oxford  ,4.6 out of 5 stars,"7,901  ",56.79,https://amazon.com/CLARKS-Mens-Tilden-Oxford-Leather/dp/B01NGTPW2U/ref=sr_1_25?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-25
Merrell Men's Moab 2 WTPF Hiking Shoe  ,4.5 out of 5 stars,"7,868  ",68.56,https://amazon.com/Merrell-Mens-Waterproof-Hiking-Granite/dp/B01HFNEET2/ref=sr_1_26?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-26
Skechers Men's Moreno Canvas Oxford Shoe  ,4.5 out of 5 stars,"8,795  ",65.0,https://amazon.com/Skechers-Moreno-Canvas-Oxford-Beige/dp/B07J576K61/ref=sr_1_27?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-27
Fila Men's Memory Workshift-m Shoes  ,4.3 out of 5 stars,"28,909  ",39.38,https://amazon.com/Fila-Memory-Workshift-Cross-Training-Black/dp/B00B8IUMBK/ref=sr_1_28?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-28
Merrell Men's Trail Glove 6 Sneaker  ,4.1 out of 5 stars,403  ,82.59,https://amazon.com/Merrell-Trail-Glove-Sneaker-Monument/dp/B08CGGB2M7/ref=sr_1_29?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-29
POSEE Mens Slippers Memory Foam Two-Tone House Slippers Closed Toe Slip-on Warm Fuzzy Shoes for Men Cozy Indoor Outdoor Shoes  ,4.3 out of 5 stars,497  ,14.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0611202691M5F7P079G&url=%2FComfort-Slippers-Lightweight-Outdoor-Durable%2Fdp%2FB08JHJNNQ1%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-30-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_mtf
Rockport Men's Eureka Walking Shoe  ,4.4 out of 5 stars,"20,477  ",51.01,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08835122URSHWJXIBU49&url=%2FRockport-Mens-Eureka-Walking-Brown%2Fdp%2FB000W922KA%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-31-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_mtf
Crocs Unisex-Adult Men's and Women's Bistro Clog | Slip Resistant Work Shoes  ,4.6 out of 5 stars,"60,460  ",44.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00141902PQ0GPLIX6WTN&url=%2FCrocs-Unisex-Bistro-Work-Womens%2Fdp%2FB000ZP814M%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-32-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_mtf
Sof Sole Insoles Men's AIRR Performance Full-Length Gel Shoe Insert  ,4.5 out of 5 stars,"3,907  ",34.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06774931MXHFY5PJFAYM&url=%2FSof-Sole-Performance-Full-Length-Insole%2Fdp%2FB08J7PNWH9%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dshoes%26qid%3D1664552785%26qu%3DeyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%253D%253D%26sr%3D8-33-spons%26psc%3D1&qualifier=1664552785&id=376989043244853&widgetName=sp_mtf
Steve Madden Women's Ecntrcqt Sneaker  ,4.0 out of 5 stars,"4,872  ",39.0,https://amazon.com/Steve-Madden-Womens-Ecentrcq-Sneaker/dp/B00XUPOG6G/ref=sr_1_34?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-34
Brooks Women's Glycerin GTS 19 Supportive Running Shoe (Transcend)  ,4.6 out of 5 stars,"2,128  ",119.95,https://amazon.com/Brooks-Glycerin-Grey-Black-Atlantis/dp/B08LMMDZNL/ref=sr_1_35?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-35
New Balance Men's Fresh Foam Arishi V3 Running Shoe  ,4.5 out of 5 stars,"7,416  ",69.89,https://amazon.com/New-Balance-Fresh-Arishi-Running/dp/B093QK7ZQ8/ref=sr_1_36?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-36
adidas Originals Men's Smooth Runner Sneaker  ,4.5 out of 5 stars,"1,991  ",75.0,https://amazon.com/adidas-Originals-Multix-Sneaker-Black/dp/B08FR686PH/ref=sr_1_37?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-37
New Balance Men's 520 V7 Running Shoe  ,4.4 out of 5 stars,"1,387  ",79.99,https://amazon.com/New-Balance-Mens-Running-White/dp/B08MWQJS98/ref=sr_1_38?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-38
New Balance Men's 520 V7 Running Shoe  ,4.4 out of 5 stars,"4,269  ",69.77,https://amazon.com/New-Balance-Running-Black-White/dp/B0882BTX1H/ref=sr_1_39?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-39
TOMS Women's Alpargata Loafer Flat  ,4.3 out of 5 stars,61  ,21.86,https://amazon.com/TOMS-Womens-Alpargata-Loafer-Linen/dp/B09HLB5CF1/ref=sr_1_41?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-41
NINE WEST Mens Dress Shoes Oxford Shoes Formal Lace Up Dress Shoes for Men Business Derby Shoes  ,4.3 out of 5 stars,95  ,30.99,https://amazon.com/NINE-WEST-Oxford-Formal-Business/dp/B09RQ8MK66/ref=sr_1_42?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-42
PUMA Men's Fusion Evo Golf Shoe  ,4.6 out of 5 stars,762  ,59.98,https://amazon.com/PUMA-Mens-Fusion-Golf-White-Quarry/dp/B08R1QMLC2/ref=sr_1_43?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-43
Merrell Men's Moab 2 Mid Waterproof Hiking Boot  ,4.6 out of 5 stars,"12,613  ",72.48,https://amazon.com/Merrell-Mens-Waterproof-Hiking-Earth/dp/B005BJI6GU/ref=sr_1_45?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-45
Dockers Mens Garfield Dress Cap Toe Oxford Shoe - Wide Widths Available  ,4.5 out of 5 stars,"1,128  ",49.95,https://amazon.com/Dockers-Garfield-Dress-Oxford-Black/dp/B07BZPP38H/ref=sr_1_46?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-46
Skechers Men's Expected Avillo Moccasin  ,4.6 out of 5 stars,"30,206  ",45.74,https://amazon.com/Skechers-Expected-Avillo-Slip-Loafer/dp/B01L04GTUE/ref=sr_1_47?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-47
Dansko Women's Phylicia Waterproof Hiking Shoes - Trail & Walking Shoe  ,4.0 out of 5 stars,427  ,79.95,https://amazon.com/Dansko-Womens-Phylicia-Waterproof-Sneaker/dp/B083YS5GRP/ref=sr_1_48?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-48
"Body Glove Water Shoes for Women (Lake, Aerobics, Swimming, Aqua Sports, Beach, Womens Water Shoes) Black and Oasis Blue Horizon Aqua Shoes for Women  ",4.3 out of 5 stars,872  ,19.99,https://amazon.com/Body-Glove-Aerobics-Swimming-Drainage/dp/B08KR7VJXN/ref=sr_1_49?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-49
CLARKS Women's Sillian Bella Mary Jane Flat  ,4.3 out of 5 stars,"6,517  ",45.64,https://amazon.com/CLARKS-Womens-Sillian-Bella-Synthetic/dp/B0198W9Z1K/ref=sr_1_50?keywords=shoes&qid=1664552785&qu=eyJxc2MiOiIxMy45NyIsInFzYSI6IjEzLjQ0IiwicXNwIjoiMTIuNTEifQ%3D%3D&sr=8-50
