product,rating,rating count,price,product url
"HOOBRO Side Table, 3-Tier Narrow End Table, Nightstand with 2 Flat or Slant Adjustable Shelves for Small Spaces, Hallway, Living Room, Bedroom, Sturdy, Easy Assembly, Rustic Brown and Black BF23BZ01  ",4.7 out of 5 stars,843  ,59.99,https://amazon.com/HOOBRO-Nightstand-Adjustable-Assembly-BF23BZ01/dp/B086KWJXLC/ref=sr_1_14?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-14
"Decor Therapy Piper 20"" Side Rattan Storage Drawer Accent Table, Light Walnut  ",4.0 out of 5 stars,7  ,109.97,https://amazon.com/Decor-Therapy-Rattan-Storage-Drawer/dp/B0B832L873/ref=sr_1_16?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-16
"Coleshome 31 Inch Computer Desk, Modern Simple Style Desk for Home Office, Study Student Writing Desk,Vintage  ",4.5 out of 5 stars,"20,571  ",59.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07523352Q33BWU1T3XVX&url=%2FColeshome-Computer-Student-Writing-Headphone%2Fdp%2FB08L1V9WKK%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dtable%26qid%3D1664552487%26qu%3DeyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%253D%253D%26sr%3D8-18-spons%26psc%3D1&qualifier=1664552487&id=6155585777833010&widgetName=sp_mtf
"mDesign Metal Frame Storage Dresser End Table/Side Table Night Stand Furniture - Small Standing Organizer for Bedroom, Office, Living Room, and Closet - 2 Drawer Removable Fabric Bins - Espresso Brown  ",4.5 out of 5 stars,"11,797  ",37.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A075203523RV9EYVIFDYD&url=%2FmDesign-Vertical-Dresser-Storage-Tower%2Fdp%2FB07CSBTNN2%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dtable%26qid%3D1664552487%26qu%3DeyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%253D%253D%26sr%3D8-19-spons%26psc%3D1&qualifier=1664552487&id=6155585777833010&widgetName=sp_mtf
"HYTXEN Gaming Desk with Led Lights, L Shaped Corner Computer Desk with Power Strip, Carbon Fiber Surface Gaming Table with Monitor Stand＆Cup Holder Headphone Hook, Graphite Black  ",4.6 out of 5 stars,12  ,169.96,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09279612LU6L5YTIWSHO&url=%2FHYTXEN-Computer-Stand%25EF%25BC%2586Cup-Headphone-Graphite%2Fdp%2FB09Z1X49S3%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dtable%26qid%3D1664552487%26qu%3DeyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%253D%253D%26sr%3D8-20-spons%26psc%3D1&qualifier=1664552487&id=6155585777833010&widgetName=sp_mtf
"VASAGLE 31.5-Inch Computer Writing Desk, Home Office Small Study Workstation, Industrial Style PC Laptop Table, Steel Frame, 31.5 inch, Rustic Brown + Black  ",4.5 out of 5 stars,88  ,49.83,https://amazon.com/VASAGLE-31-5-Inch-Workstation-Industrial-ULWD038B01/dp/B091GW9VXD/ref=sr_1_21?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-21
"LUFEIYA Small Computer Desk Study Table for Small Spaces Home Office 31 Inch Rustic Student Laptop PC Writing Desks with Storage Bag Headphone Hook,Brown  ",4.6 out of 5 stars,"4,012  ",69.89,https://amazon.com/Computer-Spaces-Student-Writing-Storage/dp/B08FHRWY3W/ref=sr_1_22?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-22
"Coffee Table, OBERICOL Side Table Convenient End Table for Living Room,Dining Room or Bedroom (Brown)  ",4.1 out of 5 stars,42  ,29.98,https://amazon.com/Coffee-OBERICOL-Convenient-Living-Bedroom/dp/B09FYWPXKM/ref=sr_1_23?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-23
"Moan Computer Desk with Storage Shelves, 55” Office Desk with Monitor Stand, Studying Writing Table Workstation with Storage Bag (Rustic Brown)  ",4.3 out of 5 stars,22  ,109.99,https://amazon.com/Moan-Computer-Storage-Shelves-Office/dp/B09C1R44CB/ref=sr_1_24?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-24
"It's_Organized Gaming Desk 60 Inch Large Manual Height Adjustable Black Gaming Computer Desk, Home Office Standing Table Long Computer Sturdy Executive Workstation for 3 Monitors with Free Mouse Pad  ",4.5 out of 5 stars,413  ,199.99,https://amazon.com/Its_Organized-Computer-Mechanical-Adjustable-Workstation/dp/B088R9F4G5/ref=sr_1_26?keywords=table&qid=1664552487&qu=eyJxc2MiOiI5LjI2IiwicXNhIjoiOC43OCIsInFzcCI6IjcuNjgifQ%3D%3D&sr=8-26
